followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week
880,354,86,0,0,257,25,image,57,Unknown,10,3
880,354,25,0,76,80,5,video,57,Unknown,18,0
880,354,35,0,0,274,23,image,57,Unknown,10,3
880,354,20,0,76,261,25,video,57,Unknown,12,2
880,354,35,0,71,252,25,video,57,Unknown,8,1
880,354,27,0,0,277,25,image,57,Unknown,16,0
880,354,21,0,80,253,25,video,57,Unknown,8,0
880,354,43,1,113,305,25,video,57,Unknown,9,6
880,354,43,0,0,450,26,image,57,Unknown,20,5
880,354,58,1,0,452,30,image,57,Unknown,10,6
880,354,66,0,328,273,25,video,57,Unknown,7,6
880,354,48,0,210,260,25,video,57,Unknown,16,5
24036,103,268,4,0,158,5,image,1013,Unknown,15,1
unknown,103,203,unknown,0,202,11, video ,1013,edu,15,6
24036,103,149,1,0,216,8,image,1013,Unknown,15,4
24036,103,184,4,0,196,6,image,1013,Unknown,15,2
24036,103,157,1,0,265,12,image,1013,Unknown,15,0
24036,103,191,1,0,271,14,image,1013,Unknown,15,5
24036,103,123,0,0,243,?,image,1013,Unknown,N/A,3
24036,103,246,2,0,218,11,image,1013,Unknown,15,1
24036,103,238,11,0,205,11,image,1013,Unknown,15,6
24036,103,177,6,0,145,9,image,1013,Unknown,16,3
24036,103,231,4,0,511,30,image,1013,Unknown,16,6
24036,103,105,25,0,112,7,image,1013,Unknown,15,3
2827,6695,149,5,1000,346,0,video,82,Unknown,20,6
2827,6695,137,4,0,421,30,image,82,Unknown,16,5
2827,6695,122,1,0,377,27,image,82,Unknown,19,3
2827,6695,125,3,0,375,27,image,82,Unknown,18,1
2827,6695,134,3,0,630,27,image,82,Unknown,13,0
2827,6695,122,2,0,617,0,image,82,Unknown,19,3
2827,6695,71,0,0,562,27,image,82,Unknown,18,2
2827,6695,88,2,0,562,27,image,82,Unknown,16,2
2827,6695,118,0,0,399,22,image,82,Unknown,15,0
2827,6695,129,0,0,399,22,image,82,Unknown,11,0
2827,6695,122,0,0,531,27,image,82,Unknown,12,5
2827,6695,109,1,0,793,21,image,82,Unknown,17,2
1345,169,13,4,39,505,30,video,79,Other,17,0
1345,169,?,5,49,458,30,video,79,,N/A,4
1345,169,20,3,117,458,30,video,79,Other,13,3
1345,169,12,3,40,482,30,video,79,Other,16,1
