followers,following,likes,video_view_count,caption_length,hashtag_count,media_type,posts_count,post_hour,post_day_of_week,views_per_follower,views_per_hashtag,like_rate,virality_score,target
880,354,86,549,257,25,1.0,57,10,3,0.62,21.96,0.09772727272727273,0.34621167136788333,0
880,354,25,76,80,5,0.0,57,18,0,0.09,15.2,0.028409090909090908,0.0658200652363699,0
880,354,35,223,274,23,1.0,57,10,3,0.25,9.7,0.03977272727272727,0.15869406358538055,0
880,354,20,76,261,25,0.0,57,12,2,0.09,3.04,0.022727272727272728,0.06388100210490452,0
880,354,35,71,252,25,0.0,57,8,1,0.08,2.84,0.03977272727272727,0.06367543196962762,0
880,354,27,172,277,25,1.0,57,16,0,0.2,6.88,0.03068181818181818,0.12908620184108008,0
880,354,21,80,253,25,0.0,57,8,0,0.09,3.2,0.023863636363636365,0.06426967510431403,0
880,354,43,113,305,25,0.0,57,9,6,0.13,4.52,0.048863636363636366,0.09613902573147198,0
880,354,43,274,450,26,1.0,57,20,5,0.31,10.54,0.048863636363636366,0.1922152036491991,0
880,354,58,370,452,30,1.0,57,10,6,0.42,12.33,0.0659090909090909,0.2502667810854504,0
880,354,66,328,273,25,0.0,57,7,6,0.37,13.12,0.075,0.22993921244889096,0
880,354,48,210,260,25,0.0,57,16,5,0.24,8.4,0.05454545454545454,0.15841083561089653,0
24036,103,268,1710,158,5,1.0,1013,15,1,0.07,342.0,0.011149941754035613,0.04785900529158706,0
528,103,203,1295,202,11,0.0,1013,15,6,2.45,117.73,0.38446969696969696,0.9188042617933555,1
24036,103,149,951,216,8,1.0,1013,15,4,0.04,118.88,0.006199034781161591,0.027656428480775597,0
24036,103,184,1174,196,6,1.0,1013,15,2,0.05,195.67,0.007655183890830421,0.03438271778877344,0
24036,103,157,1002,265,12,1.0,1013,15,0,0.04,83.5,0.006531868863371609,0.027772183577121967,0
24036,103,191,1219,271,14,1.0,1013,15,5,0.05,87.07,0.007946413712764187,0.03448385924302445,0
24036,103,123,785,243,14,1.0,1013,13,3,0.03,56.07,0.005117324013979032,0.02099971771044647,0
24036,103,246,1570,218,11,1.0,1013,15,1,0.07,142.73,0.010234648027958064,0.04754204153551533,0
24036,103,238,1519,205,11,1.0,1013,15,6,0.06,138.09,0.009901813945748045,0.04132337955495514,0
24036,103,177,1129,145,9,1.0,1013,16,3,0.05,125.44,0.007363954068896655,0.03428154709866302,0
24036,103,231,1474,511,30,1.0,1013,16,6,0.06,49.13,0.009610584123814278,0.041222433961869566,0
