followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,views_per_like,views_per_comment,views_per_follower,views_per_hashtag
880,354,86,0,172,257,25,1.0,57,2.0,,0.2,6.88
880,354,25,0,76,80,5,0.0,57,3.04,,0.09,15.2
880,354,35,0,172,274,23,1.0,57,4.91,,0.2,7.48
880,354,20,0,76,261,25,0.0,57,3.8,,0.09,3.04
880,354,35,0,71,252,25,0.0,57,2.03,,0.08,2.84
880,354,27,0,172,277,25,1.0,57,6.37,,0.2,6.88
880,354,21,0,80,253,25,0.0,57,3.81,,0.09,3.2
880,354,43,1,113,305,25,0.0,57,2.63,113.0,0.13,4.52
880,354,43,0,172,450,26,1.0,57,4.0,,0.2,6.62
880,354,58,1,172,452,30,1.0,57,2.97,172.0,0.2,5.73
880,354,66,0,328,273,25,0.0,57,4.97,,0.37,13.12
880,354,48,0,210,260,25,0.0,57,4.38,,0.24,8.4
24036,103,268,4,172,158,5,1.0,1013,0.64,43.0,0.01,34.4
528,103,203,1,172,202,11,0.0,1013,0.85,172.0,0.33,15.64
24036,103,149,1,172,216,8,1.0,1013,1.15,172.0,0.01,21.5
24036,103,184,4,172,196,6,1.0,1013,0.93,43.0,0.01,28.67
24036,103,157,1,172,265,12,1.0,1013,1.1,172.0,0.01,14.33
24036,103,191,1,172,271,14,1.0,1013,0.9,172.0,0.01,12.29
24036,103,123,0,172,243,14,1.0,1013,1.4,,0.01,12.29
24036,103,246,2,172,218,11,1.0,1013,0.7,86.0,0.01,15.64
24036,103,238,11,172,205,11,1.0,1013,0.72,15.64,0.01,15.64
24036,103,177,6,172,145,9,1.0,1013,0.97,28.67,0.01,19.11
24036,103,231,4,172,511,30,1.0,1013,0.74,43.0,0.01,5.73
24036,103,105,25,172,112,7,1.0,1013,1.64,6.88,0.01,24.57
2827,6695,149,5,1000,346,0,0.0,82,6.71,200.0,0.35,
2827,6695,137,4,172,421,30,1.0,82,1.26,43.0,0.06,5.73
2827,6695,122,1,172,377,27,1.0,82,1.41,172.0,0.06,6.37
2827,6695,125,3,172,375,27,1.0,82,1.38,57.33,0.06,6.37
2827,6695,134,3,172,630,27,1.0,82,1.28,57.33,0.06,6.37
2827,6695,122,2,172,617,0,1.0,82,1.41,86.0,0.06,
2827,6695,71,0,172,562,27,1.0,82,2.42,,0.06,6.37
2827,6695,88,2,172,562,27,1.0,82,1.95,86.0,0.06,6.37
2827,6695,118,0,172,399,22,1.0,82,1.46,,0.06,7.82
2827,6695,129,0,172,399,22,1.0,82,1.33,,0.06,7.82
2827,6695,122,0,172,531,27,1.0,82,1.41,,0.06,6.37
2827,6695,109,1,172,793,21,1.0,82,1.58,172.0,0.06,8.19
1345,169,13,4,39,505,30,0.0,79,3.0,9.75,0.03,1.3
1345,169,32,5,49,458,30,0.0,79,1.53,9.8,0.04,1.63
1345,169,20,3,117,458,30,0.0,79,5.85,39.0,0.09,3.9
1345,169,12,3,40,482,30,0.0,79,3.33,13.33,0.03,1.33
1345,169,16,1,98,414,30,0.0,79,6.12,98.0,0.07,3.27
1345,169,37,2,537,414,30,0.0,79,14.51,268.5,0.4,17.9
1345,169,12,3,37,494,30,0.0,79,3.08,12.33,0.03,1.23
1345,169,10,1,49,97,0,0.0,79,4.9,49.0,0.04,
1345,169,22,2,122,813,30,0.0,79,5.55,61.0,0.09,4.07
1345,169,61,1,631,611,29,0.0,79,10.34,631.0,0.47,21.76
1345,169,29,8,64,609,30,0.0,79,2.21,8.0,0.05,2.13
1345,169,24,7,172,1987,30,1.0,79,7.17,24.57,0.13,5.73
208,73,9,2,172,765,26,1.0,18,19.11,86.0,0.83,6.62
208,73,10,0,172,906,26,1.0,18,17.2,,0.83,6.62
208,73,23,2,172,892,26,1.0,18,7.48,86.0,0.83,6.62
208,73,25,4,172,1059,24,1.0,18,6.88,43.0,0.83,7.17
208,73,20,2,172,741,23,1.0,18,8.6,86.0,0.83,7.48
208,73,17,0,172,756,30,1.0,18,10.12,,0.83,5.73
208,73,22,8,172,753,30,1.0,18,7.82,21.5,0.83,5.73
208,73,22,1,172,794,30,1.0,18,7.82,172.0,0.83,5.73
208,73,20,4,172,972,30,1.0,18,8.6,43.0,0.83,5.73
208,73,17,0,172,879,30,1.0,18,10.12,,0.83,5.73
208,73,13,0,172,644,30,1.0,18,13.23,,0.83,5.73
208,73,20,0,172,680,30,1.0,18,8.6,,0.83,5.73
275,79,33,3,172,486,8,1.0,242,5.21,57.33,0.63,21.5
275,79,30,1,172,678,20,1.0,242,5.73,172.0,0.63,8.6
275,79,16,0,172,992,19,1.0,242,10.75,,0.63,9.05
275,79,24,0,63,547,8,0.0,242,2.62,,0.23,7.88
275,79,33,3,172,496,20,1.0,242,5.21,57.33,0.63,8.6
275,79,45,2,169,1459,8,0.0,242,3.76,84.5,0.61,21.12
275,79,20,1,172,950,15,1.0,242,8.6,172.0,0.63,11.47
275,79,28,0,172,676,11,1.0,242,6.14,,0.63,15.64
275,79,44,2,172,913,25,1.0,242,3.91,86.0,0.63,6.88
275,79,10,0,172,521,20,1.0,242,17.2,,0.63,8.6
275,79,10,0,172,460,19,0.0,242,17.2,,0.63,9.05
275,79,37,2,172,477,6,1.0,242,4.65,86.0,0.63,28.67
528,630,97,11,172,701,30,1.0,15,1.77,15.64,0.33,5.73
528,630,68,0,172,369,30,1.0,15,2.53,,0.33,5.73
528,630,72,0,172,376,30,1.0,15,2.39,,0.33,5.73
528,630,78,6,172,371,30,1.0,15,2.21,28.67,0.33,5.73
528,630,95,6,172,477,30,1.0,15,1.81,28.67,0.33,5.73
528,630,66,3,172,477,30,1.0,15,2.61,57.33,0.33,5.73
528,630,78,4,172,352,30,1.0,15,2.21,43.0,0.33,5.73
528,630,106,24,172,105,6,1.0,15,1.62,7.17,0.33,28.67
528,630,109,24,172,541,31,1.0,15,1.58,7.17,0.33,5.55
528,630,92,23,172,614,30,1.0,15,1.87,7.48,0.33,5.73
528,630,99,23,172,493,30,1.0,15,1.74,7.48,0.33,5.73
528,630,95,22,172,560,30,1.0,15,1.81,7.82,0.33,5.73
3417,6938,1186,1,172,343,29,1.0,154,0.15,172.0,0.05,5.93
3417,6938,204,3,172,433,29,1.0,154,0.84,57.33,0.05,5.93
3417,6938,1789,9,172,432,29,1.0,154,0.1,19.11,0.05,5.93
3417,6938,389,1,172,431,14,1.0,154,0.44,172.0,0.05,12.29
