followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,views_per_like,views_per_comment,views_per_follower,views_per_hashtag
587,1273,36,1,172,192,5,1.0,491,4.78,172.0,0.29,34.4
19177,0,523,0,172,66,2,1.0,196,0.33,,0.01,86.0
528,64,23,1,172,762,30,1.0,29,7.48,172.0,0.33,5.73
440,421,55,0,172,93,0,1.0,12,3.13,,0.39,
204,1967,10,1,172,444,30,1.0,22,17.2,172.0,0.84,5.73
31247,299,746,41,172,789,17,1.0,205,0.23,4.2,0.01,10.12
610,5754,218,0,172,337,26,1.0,34,0.79,,0.28,6.62
1022,547,66,0,172,441,30,1.0,89,2.61,,0.17,5.73
140,716,6,0,172,176,7,1.0,49,28.67,,1.23,24.57
1324,2505,6,0,172,705,9,1.0,285,28.67,,0.13,19.11
136,314,14,1,48,159,13,0.0,215,3.43,48.0,0.35,3.69
1738,870,127,2,172,580,31,1.0,481,1.35,86.0,0.1,5.55
483,668,33,0,172,442,35,1.0,85,5.21,,0.36,4.91
223,0,27,0,172,452,27,1.0,50,6.37,,0.77,6.37
5251,440,169,0,172,1295,25,1.0,120,1.02,,0.03,6.88
482,250,31,0,172,357,26,1.0,543,5.55,,0.36,6.62
862,3036,34,0,172,0,0,1.0,5,5.06,,0.2,
398,1044,16,0,172,6,0,1.0,12,10.75,,0.43,
598,918,57,2,172,1042,6,1.0,33,3.02,86.0,0.29,28.67
56397,107,2267,20,18273,118,9,0.0,106,8.06,913.65,0.32,2030.33
382,347,8,0,172,840,11,1.0,54,21.5,,0.45,15.64
49456,39,1046,32,172,471,30,1.0,195,0.16,5.38,0.0,5.73
244,172,13,0,172,93,9,1.0,11,13.23,,0.7,19.11
339,666,86,7,529,248,7,0.0,16,6.15,75.57,1.56,75.57
1838,774,31,7,172,130,10,1.0,81,5.55,24.57,0.09,17.2
161,15,5,0,54,79,5,0.0,271,10.8,,0.34,10.8
1119,154,56,2,172,410,20,1.0,141,3.07,86.0,0.15,8.6
819,368,32,1,172,388,16,1.0,12,5.38,172.0,0.21,10.75
725,135,17,0,172,1031,14,1.0,66,10.12,,0.24,12.29
688,834,68,1,172,362,30,1.0,60,2.53,172.0,0.25,5.73
106,1003,67,1,172,524,29,1.0,35,2.57,172.0,1.62,5.93
343,178,4,0,172,51,3,1.0,12,43.0,,0.5,57.33
158,1424,5,0,172,218,16,1.0,13,34.4,,1.09,10.75
140,240,11,0,172,784,11,1.0,13,15.64,,1.23,15.64
109,220,8,0,25,109,9,0.0,110,3.12,,0.23,2.78
41201,119,1538,50,172,683,2,1.0,225,0.11,3.44,0.0,86.0
13400,28,41,0,172,410,30,1.0,152,4.2,,0.01,5.73
394,517,41,2,172,0,0,1.0,204,4.2,86.0,0.44,
205,271,25,1,172,781,22,1.0,51,6.88,172.0,0.84,7.82
285,251,62,3,172,295,30,1.0,11,2.77,57.33,0.6,5.73
445,540,35,1,172,703,30,1.0,50,4.91,172.0,0.39,5.73
143,510,5,2,172,992,24,1.0,63,34.4,86.0,1.2,7.17
2383,175,67,4,172,108,0,1.0,58,2.57,43.0,0.07,
2010,2170,99,1,172,648,29,1.0,266,1.74,172.0,0.09,5.93
155,103,20,0,130,243,3,0.0,10,6.5,,0.84,43.33
55543,391,154,26,172,934,22,1.0,42,1.12,6.62,0.0,7.82
680,3203,66,3,172,391,16,1.0,33,2.61,57.33,0.25,10.75
3367,1460,32,12,3333,343,19,0.0,57,104.16,277.75,0.99,175.42
3684,7,175,35,172,1430,30,1.0,76,0.98,4.91,0.05,5.73
108405,8,26752,0,172,868,6,1.0,203,0.01,,0.0,28.67
120,374,37,0,172,0,0,1.0,22,4.65,,1.43,
765,874,148,5,172,434,11,1.0,58,1.16,34.4,0.22,15.64
1515,312,3,0,172,182,8,1.0,765,57.33,,0.11,21.5
1182,1043,95,3,246,233,0,0.0,15,2.59,82.0,0.21,
5731,690,147,31,1116,939,30,0.0,146,7.59,36.0,0.19,37.2
10340,308,166,3,172,1093,6,1.0,387,1.04,57.33,0.02,28.67
8368,419,326,2,172,327,18,1.0,500,0.53,86.0,0.02,9.56
351,2347,64,8,172,59,3,1.0,35,2.69,21.5,0.49,57.33
228,699,26,0,172,1186,17,1.0,28,6.62,,0.75,10.12
181,364,70,9,172,186,11,1.0,64,2.46,19.11,0.95,15.64
112,141,43,8,172,46,0,1.0,16,4.0,21.5,1.54,
143,389,39,4,172,451,14,1.0,13,4.41,43.0,1.2,12.29
1125,2191,50,2,172,338,0,1.0,536,3.44,86.0,0.15,
1841,714,105,8,172,541,30,1.0,113,1.64,21.5,0.09,5.73
1215,807,27,2,446,512,29,0.0,162,16.52,223.0,0.37,15.38
168,66,6,1,30,183,12,0.0,83,5.0,30.0,0.18,2.5
367,36,8,0,172,124,4,1.0,18,21.5,,0.47,43.0
152,85,35,1,172,25,0,1.0,75,4.91,172.0,1.13,
397,2217,24,2,172,98,6,1.0,443,7.17,86.0,0.43,28.67
832,2960,43,0,172,936,23,1.0,173,4.0,,0.21,7.48
1694,4191,178,1,172,57,4,1.0,19,0.97,172.0,0.1,43.0
439,878,70,3,172,166,1,1.0,44,2.46,57.33,0.39,172.0
