followers,following,likes,comments,video_view_count,caption_length,hashtag_count,media_type,posts_count,category_name,post_hour,post_day_of_week,cluster
880.0,354.0,86.0,0.0,0.0,257.0,25.0,1.0,57.0,,10.0,3.0,0
880.0,354.0,25.0,0.0,76.0,80.0,5.0,0.0,57.0,,18.0,0.0,0
880.0,354.0,35.0,0.0,0.0,274.0,23.0,1.0,57.0,,10.0,3.0,0
880.0,354.0,20.0,0.0,76.0,261.0,25.0,0.0,57.0,,12.0,2.0,0
880.0,354.0,35.0,0.0,71.0,252.0,25.0,0.0,57.0,,8.0,1.0,0
880.0,354.0,27.0,0.0,0.0,277.0,25.0,1.0,57.0,,16.0,0.0,0
880.0,354.0,21.0,0.0,80.0,253.0,25.0,0.0,57.0,,8.0,0.0,0
880.0,354.0,43.0,1.0,113.0,305.0,25.0,0.0,57.0,,9.0,6.0,0
880.0,354.0,43.0,0.0,0.0,450.0,26.0,1.0,57.0,,20.0,5.0,0
880.0,354.0,58.0,1.0,0.0,452.0,30.0,1.0,57.0,,10.0,6.0,0
880.0,354.0,66.0,0.0,328.0,273.0,25.0,0.0,57.0,,7.0,6.0,0
880.0,354.0,48.0,0.0,210.0,260.0,25.0,0.0,57.0,,16.0,5.0,0
24036.0,103.0,268.0,4.0,0.0,158.0,5.0,1.0,1013.0,,15.0,1.0,0
528.0,103.0,203.0,1.0,0.0,202.0,11.0,0.0,1013.0,edu,15.0,6.0,0
24036.0,103.0,149.0,1.0,0.0,216.0,8.0,1.0,1013.0,,15.0,4.0,0
24036.0,103.0,184.0,4.0,0.0,196.0,6.0,1.0,1013.0,,15.0,2.0,0
24036.0,103.0,157.0,1.0,0.0,265.0,12.0,1.0,1013.0,,15.0,0.0,0
24036.0,103.0,191.0,1.0,0.0,271.0,14.0,1.0,1013.0,,15.0,5.0,0
24036.0,103.0,123.0,0.0,0.0,243.0,14.0,1.0,1013.0,,13.0,3.0,0
24036.0,103.0,246.0,2.0,0.0,218.0,11.0,1.0,1013.0,,15.0,1.0,0
24036.0,103.0,238.0,11.0,0.0,205.0,11.0,1.0,1013.0,,15.0,6.0,0
24036.0,103.0,177.0,6.0,0.0,145.0,9.0,1.0,1013.0,,16.0,3.0,0
24036.0,103.0,231.0,4.0,0.0,511.0,30.0,1.0,1013.0,,16.0,6.0,0
24036.0,103.0,105.0,25.0,0.0,112.0,7.0,1.0,1013.0,,15.0,3.0,0
2827.0,6695.0,149.0,5.0,1000.0,346.0,0.0,0.0,82.0,,20.0,6.0,0
2827.0,6695.0,137.0,4.0,0.0,421.0,30.0,1.0,82.0,,16.0,5.0,0
2827.0,6695.0,122.0,1.0,0.0,377.0,27.0,1.0,82.0,,19.0,3.0,0
2827.0,6695.0,125.0,3.0,0.0,375.0,27.0,1.0,82.0,,18.0,1.0,0
2827.0,6695.0,134.0,3.0,0.0,630.0,27.0,1.0,82.0,,13.0,0.0,0
2827.0,6695.0,122.0,2.0,0.0,617.0,0.0,1.0,82.0,,19.0,3.0,0
2827.0,6695.0,71.0,0.0,0.0,562.0,27.0,1.0,82.0,,18.0,2.0,0
2827.0,6695.0,88.0,2.0,0.0,562.0,27.0,1.0,82.0,,16.0,2.0,0
2827.0,6695.0,118.0,0.0,0.0,399.0,22.0,1.0,82.0,,15.0,0.0,0
2827.0,6695.0,129.0,0.0,0.0,399.0,22.0,1.0,82.0,,11.0,0.0,0
2827.0,6695.0,122.0,0.0,0.0,531.0,27.0,1.0,82.0,,12.0,5.0,0
2827.0,6695.0,109.0,1.0,0.0,793.0,21.0,1.0,82.0,,17.0,2.0,0
1345.0,169.0,13.0,4.0,39.0,505.0,30.0,0.0,79.0,Other,17.0,0.0,0
1345.0,169.0,31.0,5.0,49.0,458.0,30.0,0.0,79.0,,13.0,4.0,0
1345.0,169.0,20.0,3.0,117.0,458.0,30.0,0.0,79.0,Other,13.0,3.0,0
1345.0,169.0,12.0,3.0,40.0,482.0,30.0,0.0,79.0,Other,16.0,1.0,0
1345.0,169.0,16.0,1.0,98.0,414.0,30.0,0.0,79.0,Other,17.0,0.0,0
1345.0,169.0,37.0,2.0,537.0,414.0,30.0,0.0,79.0,Other,15.0,5.0,0
1345.0,169.0,12.0,3.0,37.0,494.0,30.0,0.0,79.0,Other,18.0,0.0,0
1345.0,169.0,10.0,1.0,49.0,97.0,0.0,0.0,79.0,Other,17.0,5.0,0
1345.0,169.0,22.0,2.0,122.0,813.0,30.0,0.0,79.0,Other,17.0,4.0,0
1345.0,169.0,61.0,1.0,631.0,611.0,29.0,0.0,79.0,Other,18.0,3.0,0
1345.0,169.0,29.0,8.0,64.0,609.0,30.0,0.0,79.0,Other,17.0,1.0,0
1345.0,169.0,24.0,7.0,0.0,1987.0,30.0,1.0,79.0,Other,18.0,3.0,0
208.0,73.0,9.0,2.0,0.0,765.0,26.0,1.0,18.0,,3.0,6.0,0
208.0,73.0,10.0,0.0,0.0,906.0,26.0,1.0,18.0,,15.0,5.0,0
208.0,73.0,23.0,2.0,0.0,892.0,26.0,1.0,18.0,,17.0,3.0,0
208.0,73.0,25.0,4.0,0.0,1059.0,24.0,1.0,18.0,,5.0,2.0,0
208.0,73.0,20.0,2.0,0.0,741.0,23.0,1.0,18.0,,13.0,1.0,0
208.0,73.0,17.0,0.0,0.0,756.0,30.0,1.0,18.0,,3.0,1.0,0
208.0,73.0,22.0,8.0,0.0,753.0,30.0,1.0,18.0,,7.0,0.0,0
208.0,73.0,22.0,1.0,0.0,794.0,30.0,1.0,18.0,,4.0,0.0,0
208.0,73.0,20.0,4.0,0.0,972.0,30.0,1.0,18.0,,2.0,6.0,0
208.0,73.0,17.0,0.0,0.0,879.0,30.0,1.0,18.0,,4.0,5.0,0
208.0,73.0,13.0,0.0,0.0,644.0,30.0,1.0,18.0,,3.0,5.0,0
208.0,73.0,20.0,0.0,0.0,680.0,30.0,1.0,18.0,,17.0,4.0,0
275.0,79.0,33.0,3.0,0.0,486.0,8.0,1.0,242.0,,7.0,4.0,0
275.0,79.0,30.0,1.0,0.0,678.0,20.0,1.0,242.0,,9.0,3.0,0
275.0,79.0,16.0,0.0,0.0,992.0,19.0,1.0,242.0,,6.0,1.0,0
275.0,79.0,24.0,0.0,63.0,547.0,8.0,0.0,242.0,,7.0,6.0,0
275.0,79.0,33.0,3.0,0.0,496.0,20.0,1.0,242.0,,17.0,4.0,0
275.0,79.0,45.0,2.0,169.0,1459.0,8.0,0.0,242.0,,7.0,4.0,0
275.0,79.0,20.0,1.0,0.0,950.0,15.0,1.0,242.0,,12.0,2.0,0
275.0,79.0,28.0,0.0,0.0,676.0,11.0,1.0,242.0,,7.0,5.0,0
275.0,79.0,44.0,2.0,0.0,913.0,25.0,1.0,242.0,,15.0,1.0,0
275.0,79.0,10.0,0.0,0.0,521.0,20.0,1.0,242.0,,11.0,0.0,0
275.0,79.0,10.0,0.0,0.0,460.0,19.0,0.0,242.0,,11.0,0.0,0
275.0,79.0,37.0,2.0,0.0,477.0,6.0,1.0,242.0,,8.0,4.0,0
528.0,630.0,97.0,11.0,0.0,701.0,30.0,1.0,15.0,,2.0,6.0,0
528.0,630.0,68.0,0.0,0.0,369.0,30.0,1.0,15.0,,11.0,5.0,0
528.0,630.0,72.0,0.0,0.0,376.0,30.0,1.0,15.0,,6.0,4.0,0
528.0,630.0,78.0,6.0,0.0,371.0,30.0,1.0,15.0,,6.0,2.0,0
528.0,630.0,95.0,6.0,0.0,477.0,30.0,1.0,15.0,,2.0,1.0,0
528.0,630.0,66.0,3.0,0.0,477.0,30.0,1.0,15.0,,6.0,0.0,0
528.0,630.0,78.0,4.0,0.0,352.0,30.0,1.0,15.0,,5.0,4.0,0
528.0,630.0,106.0,24.0,0.0,105.0,6.0,1.0,15.0,,11.0,4.0,0
528.0,630.0,109.0,24.0,0.0,541.0,31.0,1.0,15.0,,4.0,2.0,0
528.0,630.0,92.0,23.0,0.0,614.0,30.0,1.0,15.0,,9.0,1.0,0
528.0,630.0,99.0,23.0,0.0,493.0,30.0,1.0,15.0,,9.0,0.0,0
528.0,630.0,95.0,22.0,0.0,560.0,30.0,1.0,15.0,,11.0,6.0,0
3417.0,6938.0,1186.0,1.0,0.0,343.0,29.0,1.0,154.0,edu,13.0,5.0,0
3417.0,6938.0,204.0,3.0,0.0,433.0,29.0,1.0,154.0,Software,8.0,5.0,0
3417.0,6938.0,1789.0,9.0,0.0,432.0,29.0,1.0,154.0,Software,11.0,4.0,0
3417.0,6938.0,389.0,1.0,0.0,431.0,14.0,1.0,154.0,Software,11.0,4.0,0
3417.0,6938.0,1152.0,4.0,0.0,420.0,29.0,1.0,154.0,Software,18.0,5.0,0
3417.0,6938.0,100.0,0.0,0.0,465.0,30.0,1.0,154.0,Software,10.0,4.0,0
3417.0,6938.0,1449.0,12.0,0.0,430.0,28.0,1.0,154.0,Software,10.0,4.0,0
3417.0,6938.0,154.0,0.0,948.0,489.0,29.0,0.0,154.0,Software,16.0,6.0,0
3417.0,6938.0,790.0,8.0,0.0,440.0,29.0,1.0,154.0,Software,15.0,0.0,0
3417.0,6938.0,2212.0,26.0,0.0,457.0,29.0,1.0,154.0,Software,21.0,4.0,0
3417.0,6938.0,607.0,16.0,7044.0,425.0,29.0,0.0,154.0,Software,12.0,2.0,0
3417.0,6938.0,829.0,5.0,0.0,451.0,29.0,1.0,154.0,Software,10.0,4.0,0
32641.0,196.0,152.0,3.0,961.0,243.0,12.0,0.0,1248.0,Other,17.0,1.0,0
32641.0,196.0,697.0,16.0,0.0,1974.0,18.0,1.0,1248.0,Other,9.0,1.0,0
32641.0,196.0,610.0,8.0,0.0,763.0,29.0,1.0,1248.0,Other,18.0,0.0,0
32641.0,196.0,587.0,29.0,4796.0,464.0,27.0,0.0,1248.0,Other,14.0,6.0,0
32641.0,196.0,295.0,16.0,3468.0,667.0,24.0,0.0,1248.0,Other,9.0,6.0,0
32641.0,196.0,817.0,4.0,0.0,1035.0,25.0,1.0,1248.0,Other,6.0,4.0,0
32641.0,196.0,308.0,5.0,0.0,409.0,15.0,1.0,1248.0,Other,19.0,3.0,0
32641.0,196.0,220.0,5.0,0.0,1015.0,21.0,1.0,1248.0,Other,19.0,2.0,0
32641.0,196.0,272.0,4.0,0.0,327.0,26.0,1.0,1248.0,Other,9.0,6.0,0
32641.0,196.0,689.0,8.0,0.0,264.0,15.0,1.0,1248.0,Other,17.0,5.0,0
32641.0,196.0,31.0,8.0,0.0,1698.0,14.0,1.0,1248.0,,13.0,6.0,0
32641.0,196.0,294.0,4.0,0.0,834.0,30.0,1.0,1248.0,Other,8.0,6.0,0
249.0,230.0,10.0,0.0,0.0,568.0,30.0,1.0,613.0,,11.0,1.0,0
249.0,230.0,11.0,1.0,0.0,687.0,21.0,1.0,613.0,,10.0,1.0,0
249.0,230.0,4.0,0.0,0.0,1131.0,19.0,1.0,613.0,,9.0,1.0,0
249.0,230.0,5.0,0.0,0.0,560.0,30.0,1.0,613.0,,11.0,0.0,0
249.0,230.0,3.0,0.0,0.0,1389.0,30.0,1.0,613.0,,9.0,0.0,0
249.0,230.0,3.0,0.0,17.0,769.0,14.0,0.0,613.0,,8.0,0.0,0
249.0,230.0,4.0,0.0,0.0,535.0,30.0,1.0,613.0,,13.0,1.0,0
249.0,230.0,3.0,0.0,0.0,1359.0,30.0,1.0,613.0,,11.0,1.0,0
528.0,230.0,9.0,1.0,0.0,647.0,14.0,1.0,613.0,,10.0,1.0,0
249.0,230.0,4.0,0.0,0.0,598.0,30.0,1.0,613.0,,12.0,4.0,0
249.0,230.0,8.0,0.0,0.0,1248.0,30.0,1.0,613.0,,10.0,4.0,0
249.0,230.0,16.0,2.0,0.0,667.0,30.0,1.0,613.0,,8.0,4.0,0
46752.0,70.0,70.0,4.0,965.0,265.0,14.0,0.0,1465.0,Other,11.0,6.0,0
46752.0,70.0,132.0,2.0,0.0,468.0,14.0,1.0,1465.0,Other,14.0,5.0,0
46752.0,70.0,89.0,0.0,0.0,186.0,9.0,1.0,1465.0,Other,13.0,4.0,0
46752.0,70.0,726.0,1.0,0.0,432.0,14.0,1.0,1465.0,Other,19.0,2.0,0
46752.0,70.0,38.0,0.0,629.0,153.0,8.0,0.0,1465.0,Other,0.0,0.0,0
46752.0,70.0,557.0,9.0,0.0,415.0,14.0,1.0,1465.0,Other,12.0,6.0,0
46752.0,70.0,34.0,0.0,538.0,119.0,7.0,0.0,1465.0,Other,20.0,4.0,0
46752.0,70.0,30.0,0.0,611.0,140.0,8.0,0.0,1465.0,Other,13.0,4.0,0
46752.0,70.0,45.0,2.0,0.0,606.0,11.0,1.0,1465.0,Other,12.0,3.0,0
46752.0,70.0,142.0,2.0,1561.0,290.0,14.0,0.0,1465.0,Other,13.0,1.0,0
46752.0,70.0,763.0,3.0,0.0,477.0,14.0,1.0,1465.0,Other,16.0,6.0,0
46752.0,70.0,144.0,1.0,0.0,232.0,11.0,1.0,1465.0,Other,13.0,5.0,0
632.0,27.0,14.0,0.0,0.0,432.0,29.0,1.0,87.0,Other,16.0,0.0,0
632.0,27.0,14.0,3.0,0.0,509.0,30.0,1.0,87.0,Other,15.0,6.0,0
632.0,27.0,8.0,0.0,0.0,561.0,30.0,1.0,87.0,Other,16.0,5.0,0
632.0,27.0,7.0,0.0,0.0,430.0,30.0,1.0,87.0,Other,16.0,4.0,0
632.0,27.0,14.0,0.0,0.0,547.0,30.0,1.0,87.0,Other,16.0,3.0,0
632.0,27.0,12.0,0.0,0.0,433.0,30.0,1.0,87.0,Other,16.0,2.0,0
632.0,27.0,10.0,0.0,0.0,615.0,30.0,1.0,87.0,Other,16.0,1.0,0
632.0,27.0,9.0,0.0,0.0,468.0,30.0,1.0,87.0,Other,16.0,0.0,0
632.0,27.0,8.0,0.0,0.0,449.0,30.0,1.0,87.0,Other,16.0,6.0,0
632.0,27.0,10.0,0.0,0.0,480.0,29.0,1.0,87.0,Other,15.0,5.0,0
632.0,27.0,11.0,0.0,0.0,595.0,29.0,1.0,87.0,Other,16.0,4.0,0
632.0,27.0,14.0,1.0,0.0,467.0,28.0,1.0,87.0,Other,16.0,3.0,0
273.0,665.0,13.0,2.0,0.0,680.0,17.0,1.0,71.0,Other,12.0,2.0,0
273.0,665.0,13.0,0.0,0.0,454.0,17.0,1.0,71.0,Other,12.0,4.0,0
273.0,665.0,22.0,0.0,0.0,639.0,12.0,1.0,71.0,Other,13.0,3.0,0
273.0,665.0,15.0,0.0,68.0,251.0,18.0,0.0,71.0,Other,6.0,6.0,0
273.0,665.0,16.0,2.0,0.0,1339.0,30.0,1.0,71.0,Other,12.0,2.0,0
273.0,665.0,16.0,1.0,0.0,437.0,30.0,1.0,71.0,Other,13.0,0.0,0
273.0,665.0,22.0,2.0,0.0,1892.0,31.0,1.0,71.0,Other,12.0,6.0,0
273.0,665.0,13.0,1.0,0.0,125.0,6.0,1.0,71.0,Other,13.0,4.0,0
273.0,665.0,22.0,0.0,0.0,1090.0,26.0,1.0,71.0,Other,5.0,2.0,0
273.0,665.0,10.0,2.0,32.0,211.0,15.0,0.0,71.0,Other,6.0,0.0,0
273.0,665.0,78.0,0.0,1132.0,35.0,0.0,0.0,71.0,Other,4.0,2.0,0
273.0,665.0,11.0,0.0,0.0,447.0,10.0,1.0,71.0,Other,6.0,0.0,0
371.0,2021.0,11.0,0.0,0.0,595.0,25.0,1.0,55.0,,18.0,6.0,0
371.0,2021.0,10.0,0.0,0.0,506.0,24.0,1.0,55.0,,18.0,4.0,0
371.0,2021.0,26.0,0.0,0.0,261.0,13.0,1.0,55.0,,7.0,5.0,0
371.0,2021.0,13.0,1.0,0.0,55.0,2.0,1.0,55.0,,16.0,3.0,0
371.0,2021.0,13.0,0.0,0.0,46.0,0.0,1.0,55.0,,10.0,4.0,0
371.0,2021.0,20.0,0.0,109.0,37.0,1.0,0.0,55.0,,16.0,4.0,0
371.0,2021.0,20.0,2.0,0.0,32.0,1.0,1.0,55.0,,17.0,2.0,0
371.0,2021.0,26.0,2.0,0.0,47.0,1.0,1.0,55.0,,20.0,4.0,0
371.0,2021.0,22.0,0.0,0.0,60.0,2.0,1.0,55.0,,19.0,4.0,0
371.0,2021.0,21.0,0.0,0.0,132.0,3.0,1.0,55.0,,19.0,3.0,0
371.0,2021.0,30.0,2.0,0.0,175.0,6.0,1.0,55.0,,16.0,2.0,0
371.0,2021.0,22.0,0.0,0.0,349.0,6.0,1.0,55.0,,18.0,4.0,0
205.0,658.0,1.0,0.0,0.0,667.0,21.0,1.0,165.0,Other,5.0,0.0,0
205.0,658.0,0.0,0.0,0.0,627.0,18.0,1.0,165.0,Other,6.0,1.0,0
205.0,658.0,4.0,0.0,0.0,761.0,23.0,1.0,165.0,Other,5.0,1.0,0
